AGENCY_NAME,FOCUS,TYPE,ABBREVIATION
State Board of Accountancy (WBOA),Accountancy,Board,WBOA
Office of the State Actuary (OSA),Actuary,Office,OSA
Office of Administrative Hearings (OAH),Administrative Hearings,Office,OAH
Washington State Commission on African-American Affairs (CAA),African-American Affairs,Commission,CAA
Aging & Long Term Care of Eastern Washington (ALTCEW),NA,NA,ALTCEW
Department of Agriculture (AGR),Agriculture,Department,AGR
Air National Guard (WAANG),NA,NA,WAANG
Apple Commission (APPLE),NA,Commission,APPLE
Department of Archaeology & Historic Preservation (DAHP),Archaeology & Historic Preservation,Department,DAHP
Board of Registration for Architects (BRA),Architects,Board,BRA
Lewis-Mason-Thurston Area Agency on Aging (LMTAAA),Area Agency on Aging,Agency,LMTAAA
Army National Guard (WAARNG),NA,NA,WAARNG
Washington State Arts Commission (ARTSWA),Arts Commission,Commission,ARTSWA
State of Washington Commission on Asian Pacific American Affairs (CAPAA),Asian Pacific American Affairs,Commission,CAPAA
Asparagus Commission (ASPAR),NA,Commission,ASPAR
Office of the Attorney General (ATG),Attorney General,Office,ATG
Joint Legislative Audit and Review Committee (JLARC),Audit and Review Committee,Committee,JLARC
Washington State Auditor (SAO),Auditor,NA,SAO
Department of Transportation Aviation (DOTA),Aviation,Department,DOTA
Beef Commission (BEEF),NA,Commission,BEEF
Beer Commission (BEER),NA,Commission,BEER
Department of Services for the Blind (DSB),Blind,Department,DSB
Washington State School for the Blind (WSSB),Blind,NA,WSSB
Blueberry Commission (BLUE),NA,Commission,BLUE
State Building Code Council (SBCC),Building Code Council,Council,SBCC
State of Washington Caseload Forecast Council (CFC),Caseload Forecast Council,Council,CFC
Washington State Center for Childhood Deafness and Hearing Loss (WSD),Center for Childhood Deafness and Hearing Loss,Center,WSD
Office of the Chief Information Officer (OCIO),Chief Information Officer,Office,OCIO
"Youth, and Families, Department of Children, Youth, and Families (DCYF)","Children, Youth, and Families",Department,DCYF
Washington Citizens Commission on Salaries for Elected Officials (SALARIES),Citizens Commission on Salaries for Elected Officials,Commission,SALARIES
Office of Civil Legal Aid (OCLA),Civil Legal Aid,Office,OCLA
Code Reviser Statute Law Committee (SLC),NA,Committee,SLC
Columbia River Gorge Commission (CRG),NA,Commission,CRG
Combined Fund Drive (CFD),NA,NA,CFD
Department of Commerce (COM),Commerce,Department,COM
State Board for Community & Technical Colleges (SBCTC),Community & Technical Colleges,Board,SBCTC
State Conservation Commission (SCC),Conservation Commission,Commission,SCC
Consolidated Technology Services (CTS),NA,NA,CTS
Department of Corrections (DOC),Corrections,Department,DOC
County Road Administration Board (CRAB),NA,Board,CRAB
Court of Appeals (COA),NA,Court,COA
Administrative Office of the Courts (AOC),Courts,Office,AOC
Washington State Criminal Justice Training Commission (CJTC),Criminal Justice Training Commission,Commission,CJTC
Office of CyberSecurity (OCS),CyberSecurity,Office,OCS
Dairy Products Commission (DAIRY),NA,Commission,DAIRY
Office of the Deaf and Hard of Hearing (ODHH),Deaf and Hard of Hearing,Office,ODHH
Developmental Disabilities Council (DDC),NA,Council,DDC
Governor's Committee on Disability Issues and Employment (GCDE),Disability Issues and Employment,Committee,GCDE
Department of Early Learning (DEL),Early Learning,Department,DEL
Department of Ecology (ECY),Ecology,Department,ECY
Economic and Revenue Forecast Council (ERFC),NA,Council,ERFC
Economic Development Commission (WEDC),NA,Commission,WEDC
Economic Development Finance Authority (WEDFA),NA,Authority,WEDFA
Education Research and Data Center (ERDC),NA,Center,ERDC
State Board of Education (SBE),Education,Board,SBE
Emergency Management Division (EMD),NA,Division,EMD
Department of Employment Security (ESD),Employment Security,Department,ESD
Energy Facility Site Evaluation Council (EFSEC),NA,Council,EFSEC
Board of Registration for Engineers and Land Surveyors (BRELS),Engineers and Land Surveyors,Board,BRELS
Department of Enterprise Services (DES),Enterprise Services,Department,DES
Environmental and Land Use Hearings Office (ELUHO),NA,Office,ELUHO
Executive Ethics Board (ETHICS),NA,Board,ETHICS
Expenditure Limit Committee (ELC),NA,Committee,ELC
Extension Energy Program (ENERGY),NA,Program,ENERGY
Family Policy Council (FPC),NA,Council,FPC
Department of Financial Institutions (DFI),Financial Institutions,Department,DFI
Office of Financial Management (OFM),Financial Management,Office,OFM
Department of Fish and Wildlife (DFW),Fish and Wildlife,Department,DFW
Forest Practices Appeals Board (FPAB),NA,Board,FPAB
Forest Practices Board (FPB),NA,Board,FPB
Freight Mobility Strategic Investment Board (FMSIB),NA,Board,FMSIB
Fruit Commission (FRUIT),NA,Commission,FRUIT
Washington State Gambling Commission (WSGC),Gambling Commission,Commission,WSGC
Washington State Geographic Information Council (WAGIC),Geographic Information Council,Council,WAGIC
Office of the Governor (GOVERNOR),Governor,Office,GOVERNOR
Governor's Office of Indian Affairs (GOIA),NA,Office,GOIA
Grain Commission (WGC),NA,Commission,WGC
Growth Management Hearings Board (GMHB),NA,Board,GMHB
Hardwoods Commission (WHC),NA,Commission,WHC
Washington State Health Care Authority (HCA),Health Care Authority,Authority,HCA
Health Care Facilities Authority (WHCFA),NA,Authority,WHCFA
Department of Health (DOH),Health,Department,DOH
Washington State Board of Health (SBOH),Health,Board,SBOH
Higher Education Facilities Authority (WHEFA),NA,Authority,WHEFA
Washington State Commission on Hispanic Affairs (CHA),Hispanic Affairs,Commission,CHA
Eastern Washington State Historical Society (WSHSEAST),Historical Society,NA,WSHSEAST
State History Museum (WSHS),History Museum,NA,WSHS
Home Care Referral Registry (HCRR),NA,NA,HCRR
Washington State Horse Racing Commission (WHRC),Horse Racing Commission,Commission,WHRC
Washington State House of Representatives (HOUSE),House of Representatives,NA,HOUSE
Housing Finance Commission (WSHFC),NA,Commission,WSHFC
Office of the State Human Resources Director (OSHRD),Human Resources Director,Office,OSHRD
Human Rights Commission (HRC),NA,Commission,HRC
Hydraulics Appeals Board (HAB),NA,Board,HAB
Indeterminate Sentence Review Board (SRB),NA,Board,SRB
Board of Industrial Insurance Appeals (BIIA),Industrial Insurance Appeals,Board,BIIA
Innovate Washington (IWA),NA,NA,IWA
Office of the Insurance Commissioner (OIC),Insurance Commissioner,Office,OIC
Washington State Investment Board (SIB),Investment Board,Board,SIB
Joint Transportation Committee (JTC),NA,Committee,JTC
Commission on Judicial Conduct (CJC),Judicial Conduct,Commission,CJC
K-20 Education Network (K20),NA,NA,K20
Department of Labor and Industries (LNI),Labor and Industries,Department,LNI
Labor Relations Division (LABOR),NA,Division,LABOR
Office of the Land Commissioner (CPL),Land Commissioner,Office,CPL
Board of Registration for Landscape Architects (BRLA),Landscape Architects,Board,BRLA
Law Enforcement Officers and Fire Fighters' Plan 2 Retirement Board (LEOFF),NA,Board,LEOFF
State Law Library (SLL),Law Library,Library,SLL
Legislative Ethics Board (LEB),NA,Board,LEB
Legislative Evaluation and Accountability Program Committee (LEAP),NA,Committee,LEAP
Legislature Customer Service Center (LEGCS),NA,Center,LEGCS
State Legislature (LEG),Legislature,Legislature,LEG
State Library (LIB),Library,Library,LIB
Department of Licensing (DOL),Licensing,Department,DOL
Office of Lieutenant Governor (LTGOV),Lieutenant Governor,Office,LTGOV
Life Sciences Discovery Fund Authority (LSDFA),NA,Authority,LSDFA
Liquor and Cannabis Board (LCB),NA,Board,LCB
Washington State Lottery (LOTTERY),Lottery,NA,LOTTERY
Medical Quality Assurance Commission (MQAC),NA,Commission,MQAC
Military Department (MIL),NA,Department,MIL
State Minority and Justice Commission (MJC),Minority and Justice Commission,Commission,MJC
Office of Minority and Women's Business Enterprises (OMWBE),Minority and Women's Business Enterprises,Office,OMWBE
Forum on Monitoring Salmon Recovery and Watershed Health (MSRWH),Monitoring Salmon Recovery and Watershed Health,NA,MSRWH
Commission for National and Community Service (WCNCS),National and Community Service,Commission,WCNCS
Department of Natural Resources (DNR),Natural Resources,Department,DNR
Northwest Cherries (CHERRY),NA,NA,CHERRY
Northwest Indian Fisheries Commission (NWIFC),NA,Commission,NWIFC
Northwest Power and Conservation Council (NPCC),NA,Council,NPCC
Nursing Care Quality Assurance Commission (NCQAC),NA,Commission,NCQAC
Office of the Family and Children's Ombuds (OFCO),Ombuds,Office,OFCO
Office of the Education Ombudsman (OEO),Ombudsman,Office,OEO
Open Government Ombudsman (OGO),Ombudsman,NA,OGO
State Parks and Recreation Commission (PARKS),Parks and Recreation Commission,Commission,PARKS
Select Committee on Pension Policy (SCPP),Pension Policy,Committee,SCPP
Personnel Resources Board (PRB),NA,Board,PRB
State Commission on Pesticide Registration (WSCPR),Pesticide Registration,Commission,WSCPR
Board of Pharmacy (BOP),Pharmacy,Board,BOP
Board of Pilotage Commissioners (PILOTAGE),Pilotage Commissioners,Board,PILOTAGE
Pollution Control Hearings Board (PCHB),NA,Board,PCHB
Washington State Pollution Liability Insurance Agency (PLIA),Pollution Liability Insurance Agency,Agency,PLIA
Potato Commission (POTATO),NA,Commission,POTATO
Productivity Board (PB),NA,Board,PB
Professional Educator Standards Board (PESB),NA,Board,PESB
Board of Psychology (PSYCH),Psychology,Board,PSYCH
Office of Public Defense (OPD),Public Defense,Office,OPD
Public Deposit Protection Commission (PDPC),NA,Commission,PDPC
Public Disclosure Commission (PDC),NA,Commission,PDC
Public Employees Benefits Board Program (PEBB),NA,Board,PEBB
Public Employment Relations Commission (PERC),NA,Commission,PERC
Office of Superintendent of Public Instruction (OSPI),Public Instruction,Office,OSPI
Washington State Institute for Public Policy (WSIPP),Public Policy,Institute,WSIPP
Public Works Board (PWB),NA,Board,PWB
Puget Sound Partnership (PSP),NA,NA,PSP
Puget Sound Salmon Commission (GILLNET),NA,Commission,GILLNET
Real Estate Appraiser Commission (REAC),NA,Commission,REAC
Real Estate Commission (REC),NA,Commission,REC
Recreation and Conservation Office (RCO),NA,Office,RCO
Red Raspberry Commission (RASP),NA,Commission,RASP
State Redistricting Commission (RDC),Redistricting Commission,Commission,RDC
Governor's Office for Regulatory Innovation and Assistance (ORIA),Regulatory Innovation and Assistance,Office,ORIA
Results Washington,NA,NA,NA
Department of Retirement Systems (DRS),Retirement Systems,Department,DRS
Department of Revenue (DOR),Revenue,Department,DOR
Citizens Commission on Salaries for Elected Officials (WCCSEO),Salaries for Elected Officials,Commission,WCCSEO
Salmon Recovery Funding Board (SRFB),NA,Board,SRFB
Governor's Salmon Recovery Office (GSRO),Salmon Recovery Office,Office,GSRO
State School Directors' Association (WSSDA),School Directors' Association,NA,WSSDA
Office of the Secretary of State (SECSTATE),Secretary of State,Office,SECSTATE
Seed Potato Commission (SEED),NA,Commission,SEED
Washington State Senate (SENATE),Senate,NA,SENATE
Sentencing Guidelines Commission (SGC),NA,Commission,SGC
Shorelines Hearings Board (SHB),NA,Board,SHB
Department of Social and Health Services (DSHS),Social and Health Services,Department,DSHS
Spokane Intercollegiate Research & Technology Institute (SIRTI),NA,Institute,SIRTI
State Convention & Trade Center (CTC),NA,Center,CTC
Office of the State Fire Marshal (FIRE),State Fire Marshal,Office,FIRE
Washington State Patrol (WSP),State Patrol,NA,WSP
Supreme Court (SC),NA,Court,SC
Board of Tax Appeals (BTA),Tax Appeals,Board,BTA
Citizen Commission for Performance Measurement of Tax Preferences (PMTP),Tax Preferences,Commission,PMTP
Tobacco Settlement Authority (TOB),NA,Authority,TOB
Traffic Records Committee (TRC),NA,Committee,TRC
Traffic Safety Commission (WTSC),NA,Commission,WTSC
State Transportation Commission (STC),Transportation Commission,Commission,STC
Transportation Improvement Board (TIB),NA,Board,TIB
Department of Transportation (DOT),Transportation,Department,DOT
Office of the State Treasurer (OST),Treasurer,Office,OST
Tree Fruit Research Commission (TREE),NA,Commission,TREE
Turfgrass Seed Commission (TSC),NA,Commission,TSC
Public Affairs Network TVW (TVW),TVW,NA,TVW
Utilities and Transportation Commission (UTC),NA,Commission,UTC
Department of Veterans Affairs (DVA),Veterans Affairs,Department,DVA
Board for Volunteer Firefighters & Reserve Officers (BVFF),Volunteer Firefighters & Reserve Officers,Board,BVFF
Washington Student Achievement Council (WSAC),NA,Council,WSAC
Washington Technology Solutions (WATECH),NA,NA,WATECH
Washington Wellness (WW),NA,NA,WW
Wine Commission (WINE),NA,Commission,WINE
Workforce Training and Education Coordinating Board (WTB),NA,Board,WTB
